,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.0030270619317889214,0.00946169625967741,0.8936589956283569,0.7453498244285583,0.10331403464078903,0.24518850445747375,0.012488758191466331,0.3485025390982628,2.0,1.0566666666666666,0.826
000002,0.015471355058252811,0.031084509566426277,0.9166064262390137,0.9498059153556824,0.06792216002941132,0.01910959742963314,0.04655586462467909,0.08703175745904446,-0.32,-0.24333333333333332,0.7300000000000001
000004,0.00677853636443615,0.03998211771249771,0.9638351202011108,0.9019420742988586,0.029386324808001518,0.05807572975754738,0.04676065407693386,0.0874620545655489,0.77,0.9766666666666666,0.986
000005,0.0007706977194175124,0.0001257768162759021,0.7606362104415894,0.8526710271835327,0.23859301209449768,0.1472032219171524,0.0008964745356934145,0.3857962340116501,0.84,0.42,0.45999999999999996
000006,0.014971486292779446,0.0006863123271614313,0.9196310639381409,0.5799025893211365,0.06539738923311234,0.4194110333919525,0.015657798619940877,0.48480842262506485,0.74,0.5733333333333334,0.584
000008,0.019857132807374,0.0031403794419020414,0.8077435493469238,0.7741555571556091,0.17239931225776672,0.22270402312278748,0.022997512249276042,0.3951033353805542,5.16,1.4866666666666666,0.6699999999999999
000009,0.02775038219988346,0.010274197906255722,0.8323378562927246,0.5650410652160645,0.1399116963148117,0.42468464374542236,0.03802458010613918,0.5645963400602341,1.67,0.37333333333333335,0.2
000010,9.23826009966433e-05,2.3010481527308002e-05,0.5712741017341614,0.32584160566329956,0.42863357067108154,0.6741353869438171,0.00011539308252395131,1.1027689576148987,1.47,0.9733333333333333,0.71
000011,0.02559390664100647,0.008830268867313862,0.8699833154678345,0.7956270575523376,0.10442276298999786,0.19554264843463898,0.03442417550832033,0.29996541142463684,1.1,0.3500000000000001,0.89
000012,0.013298168778419495,0.0034209396690130234,0.9301156401634216,0.9175787568092346,0.05658615753054619,0.07900026440620422,0.016719108447432518,0.1355864219367504,0.71,0.24,0.6599999999999999
000014,0.01487974263727665,0.015071341767907143,0.9204910397529602,0.8258812427520752,0.0646291971206665,0.1590474545955658,0.029951084405183792,0.2236766517162323,0.18,-0.17333333333333334,-0.03400000000000001
000016,0.004424393177032471,0.006744069047272205,0.4791305661201477,0.5755935311317444,0.5164450407028198,0.4176624119281769,0.011168462224304676,0.9341074526309967,2.83,0.8833333333333334,1.4080000000000001
000017,0.013920935802161694,0.0013118094066157937,0.39540785551071167,0.6795639395713806,0.5906712412834167,0.3191242218017578,0.015232745208777487,0.9097954630851746,0.73,0.2433333333333333,0.04799999999999997
000018,0.003208619076758623,8.779883501119912e-05,0.5232966542243958,0.19469641149044037,0.47349464893341064,0.8052158355712891,0.0032964179117698222,1.2787104845046997,10.0,5.663333333333333,2.471999999999999
000019,0.2429015189409256,0.17193561792373657,0.43591925501823425,0.5519477128982544,0.32117921113967896,0.27611663937568665,0.41483713686466217,0.5972958505153656,1.03,0.3166666666666667,0.798
000021,0.0005043672281317413,0.0006983636994846165,0.7442405223846436,0.4678865373134613,0.2552550733089447,0.5314151048660278,0.0012027309276163578,0.7866701781749725,2.98,1.9933333333333332,1.686
000022,0.018287595361471176,0.027958296239376068,0.5760232210159302,0.700363039970398,0.4056891202926636,0.2716786563396454,0.046245891600847244,0.677367776632309,1.13,0.11999999999999995,0.656
000025,0.13123460114002228,0.11508490145206451,0.7595446109771729,0.7523765563964844,0.10922083258628845,0.1325385421514511,0.2463195025920868,0.24175937473773956,0.11,0.20000000000000004,1.106
000026,0.0004965470870956779,0.0004883257206529379,0.3960758447647095,0.7247227430343628,0.6034275889396667,0.2747889757156372,0.0009848728077486157,0.878216564655304,2.06,1.36,0.938
000027,0.00034785171737894416,0.0002176582784159109,0.9732869267463684,0.9300739765167236,0.02636522427201271,0.06970836222171783,0.0005655099957948551,0.09607358649373055,0.47,0.20666666666666667,0.31000000000000005
000028,0.06204868480563164,0.03335384652018547,0.8121758699417114,0.8331320285797119,0.12577544152736664,0.13351409137248993,0.09540253132581711,0.25928953289985657,1.41,0.15,0.154
000030,0.013895227573812008,0.020877456292510033,0.6475175619125366,0.7679768204689026,0.3385871946811676,0.21114572882652283,0.03477268386632204,0.5497329235076904,1.34,0.26333333333333336,0.42400000000000004
000035,0.008027161471545696,0.01743495464324951,0.9466344714164734,0.8687591552734375,0.04533838853240013,0.11380595713853836,0.025462116114795208,0.1591443456709385,1.06,0.15333333333333335,-0.02999999999999998
000036,0.032962460070848465,0.19651898741722107,0.7874715328216553,0.6542686223983765,0.17956607043743134,0.14921234548091888,0.22948144748806953,0.3287784159183502,0.74,0.6,0.45
000037,0.014441653154790401,0.0008586116600781679,0.8931922316551208,0.9436478018760681,0.09236610680818558,0.055493518710136414,0.01530026481486857,0.147859625518322,1.59,-0.4166666666666667,-0.09399999999999994
000039,0.027233516797423363,0.010758448392152786,0.6529079079627991,0.5713464021682739,0.31985852122306824,0.41789522767066956,0.03799196518957615,0.7377537488937378,2.74,-0.04999999999999997,0.744
000040,0.0038668764755129814,0.0015897719422355294,0.7251375913619995,0.5811427235603333,0.27099546790122986,0.4172675311565399,0.005456648417748511,0.6882629990577698,4.32,2.7566666666666664,1.7579999999999998
000042,0.031409408897161484,0.04255728796124458,0.8927720189094543,0.8366197347640991,0.07581865042448044,0.12082298845052719,0.07396669685840607,0.19664163887500763,-0.42,0.8033333333333333,0.03200000000000007
000043,0.0005519756232388318,0.0007915917667560279,0.42147624492645264,0.4827093780040741,0.5779717564582825,0.5164990425109863,0.0013435673899948597,1.0944707989692688,1.08,1.1333333333333333,0.8719999999999999
000045,0.0016921698115766048,0.00024227023823186755,0.5029441714286804,0.38231202960014343,0.49536359310150146,0.6174457669258118,0.0019344400498084724,1.1128093600273132,1.67,1.2233333333333334,1.002
000046,0.006033954676240683,0.005257008131593466,0.8382547497749329,0.8801637291908264,0.1557113528251648,0.11457933485507965,0.011290962807834148,0.27029068768024445,0.87,0.29333333333333333,0.42200000000000004
000048,0.056555408984422684,0.007804062217473984,0.8965983986854553,0.9529629349708557,0.046846237033605576,0.03923307731747627,0.06435947120189667,0.08607931435108185,0.0,-0.18999999999999997,-0.11399999999999999
000049,0.003996304702013731,0.008319556713104248,0.6511233448982239,0.4266347885131836,0.3448803126811981,0.5650455951690674,0.012315861415117979,0.9099259078502655,4.46,1.99,0.772
