,one_meanmaster.0,one_meanmaster.1,one_meanmaster.2,three_mean20170913.0,three_mean20170913.1,three_mean20170913.2,three_meanmaster.0,three_meanmaster.1,three_meanmaster.2,sum
000001,0.06690593808889389,0.8782707452774048,0.054823387414216995,0.08614630252122879,0.8025909662246704,0.11126276850700378,0.5357869267463684,0.05025951564311981,0.413953572511673,0.5800397284328938
000002,0.05542881786823273,0.8147458434104919,0.12982529401779175,0.19562335312366486,0.6388054490089417,0.16557124257087708,0.5917448401451111,0.07049979269504547,0.337755411863327,0.6331519484519958
000004,0.014426312409341335,0.8672805428504944,0.1182931661605835,0.038922280073165894,0.7881134748458862,0.17296424508094788,0.6141316890716553,0.054877035319805145,0.3309912085533142,0.6222486197948456
000005,0.008761132135987282,0.9003957509994507,0.09084314852952957,0.017876971513032913,0.9181301593780518,0.063992939889431,0.5793246626853943,0.07417675107717514,0.34649860858917236,0.5013346970081329
000008,0.005852419417351484,0.9690040349960327,0.025143520906567574,0.014302972704172134,0.8711263537406921,0.11457069963216782,0.5628324747085571,0.08142393827438354,0.3557436168193817,0.4954578373581171
000009,0.05253160744905472,0.8625928163528442,0.08487562090158463,0.03121928498148918,0.702372670173645,0.2664080262184143,0.4970397353172302,0.07024865597486496,0.432711660861969,0.7839953079819679
000010,0.07166411727666855,0.8626505732536316,0.06568533182144165,0.008530013263225555,0.9143456816673279,0.07712425291538239,0.6564987897872925,0.03197692334651947,0.31152427196502686,0.4543338567018509
000011,0.0353972502052784,0.8945406079292297,0.07006212323904037,0.04918840900063515,0.8429743647575378,0.10783718526363373,0.5453858375549316,0.09090730547904968,0.3637068271636963,0.5416061356663704
000012,0.03715822473168373,0.9433942437171936,0.01944747008383274,0.013447856530547142,0.9599043726921082,0.02664775215089321,0.5397322773933411,0.07926788926124573,0.38099974393844604,0.427094966173172
000014,0.01325288601219654,0.9563455581665039,0.03040158376097679,0.007631613872945309,0.9757223725318909,0.016646014526486397,0.4998078942298889,0.10094815492630005,0.39924389123916626,0.44629148952662945
000016,0.03732706978917122,0.8030668497085571,0.15960608422756195,0.05796918272972107,0.6765235662460327,0.26550719141960144,0.5525039434432983,0.10087420791387558,0.3466218113899231,0.7717350870370865
000017,0.03003893792629242,0.9529131650924683,0.017047982662916183,0.02357138879597187,0.9426777362823486,0.03375087305903435,0.5709377527236938,0.06464298814535141,0.36441928148269653,0.41521813720464706
000018,0.01025910209864378,0.9352719187736511,0.05446895584464073,0.011083080433309078,0.9378679394721985,0.051048990339040756,0.6039785146713257,0.0665152370929718,0.3295062780380249,0.4350242242217064
000021,0.11045413464307785,0.8532932996749878,0.03625259920954704,0.04544129967689514,0.8398235440254211,0.11473512649536133,0.4779936969280243,0.06956256181001663,0.4524436891078949,0.6034314148128033
000022,0.03386734426021576,0.925317645072937,0.04081491753458977,0.036275673657655716,0.9338958263397217,0.029828457161784172,0.5628625154495239,0.08896689116954803,0.34817057847976685,0.4188139531761408
000023,0.009088801220059395,0.9218614101409912,0.06904979050159454,0.46773383021354675,0.45609036087989807,0.0761757642030716,0.5756945610046387,0.08377760648727417,0.34052783250808716,0.4857533872127533
000025,0.010031968355178833,0.9519832730293274,0.037984706461429596,0.010680164210498333,0.9798057675361633,0.009514047764241695,0.5757553577423096,0.08427589386701584,0.3399687707424164,0.3874675249680877
000026,0.0005809194408357143,0.9600147604942322,0.03940431773662567,0.002511757193133235,0.9167050123214722,0.08078324794769287,0.6180247664451599,0.042732518166303635,0.3392427861690521,0.45943035185337067
000027,0.0036351848393678665,0.9880260825157166,0.008338680490851402,0.0014770375564694405,0.9819127321243286,0.01661018468439579,0.5286274552345276,0.07795970886945724,0.3934127986431122,0.4183616638183594
000028,0.003534347750246525,0.9849209189414978,0.011544722132384777,0.003091008635237813,0.8499812483787537,0.14692769944667816,0.5717787742614746,0.08141764998435974,0.34680357575416565,0.5052759973332286
000030,0.03367052972316742,0.8608809113502502,0.10544851422309875,0.05224260315299034,0.8142861127853394,0.13347120583057404,0.5267592668533325,0.10686128586530685,0.36637938022613525,0.605299100279808
000036,0.008755951188504696,0.9471396803855896,0.044104259461164474,0.0198760274797678,0.801780104637146,0.17834386229515076,0.5189344882965088,0.045070450752973557,0.43599510192871094,0.6584432236850262
000037,0.024656174704432487,0.8779135346412659,0.0974302887916565,0.17435310781002045,0.7520519495010376,0.07359486073255539,0.5416944622993469,0.07720603048801422,0.38109949231147766,0.5521246418356895
000039,0.1780695766210556,0.6719356179237366,0.1499948352575302,0.06972985714673996,0.7371031641960144,0.19316698610782623,0.5876407027244568,0.0658738911151886,0.3464854061603546,0.6896472275257111
000040,0.018716609105467796,0.7418458461761475,0.239437535405159,0.04800395295023918,0.9016046524047852,0.05039145052433014,0.46787282824516296,0.07709307223558426,0.455034077167511,0.7448630630970001
000042,0.04448574036359787,0.9041723608970642,0.05134193226695061,0.024973774328827858,0.9474264979362488,0.02759971283376217,0.5586856603622437,0.07402507960796356,0.367289274930954,0.44623092003166676
000043,0.06570129096508026,0.8634859323501587,0.07081277668476105,0.1977834552526474,0.7862875461578369,0.01592894457280636,0.5882379412651062,0.0645022988319397,0.3472597897052765,0.4340015109628439
000045,0.14765048027038574,0.7429359555244446,0.10941353440284729,0.06071366369724274,0.8485948443412781,0.09069153666496277,0.5358898639678955,0.09042639285326004,0.37368372082710266,0.5737887918949127
000046,0.005159755237400532,0.9739329218864441,0.02090725675225258,0.004900736268609762,0.9297937750816345,0.06530553847551346,0.5734174847602844,0.08430413901805878,0.3422783613204956,0.42849115654826164
000048,0.43862295150756836,0.5023817420005798,0.05899527296423912,0.10589670389890671,0.8428176045417786,0.05128571391105652,0.5784856081008911,0.08139213919639587,0.3401222229003906,0.45040320977568626
000049,0.04489656910300255,0.9022220373153687,0.052881304174661636,0.09897450357675552,0.8481346368789673,0.05289078131318092,0.5208532810211182,0.061897892504930496,0.4172488749027252,0.5230209603905678
000050,0.011913640424609184,0.6745464205741882,0.31353992223739624,0.029930656775832176,0.7510110139846802,0.21905840933322906,0.5889093279838562,0.051824022084474564,0.35926663875579834,0.8918649703264236
000055,0.018510878086090088,0.9377712607383728,0.04371773451566696,0.01246305089443922,0.8204632997512817,0.16707368195056915,0.5649396777153015,0.06629443913698196,0.36876586079597473,0.5795572772622108
