,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up
000001,0.06473182886838913,0.030083606019616127,0.8253496885299683,0.8743529915809631,0.10991847515106201,0.09556350857019424,0.09481543488800526,0.20548198372125626
000002,0.11649463325738907,0.31965774297714233,0.6477867960929871,0.5625126361846924,0.2357185184955597,0.11782969534397125,0.4361523762345314,0.35354821383953094
000004,0.05202265828847885,0.01279513444751501,0.5845596194267273,0.8986825942993164,0.36341777443885803,0.0885222852230072,0.06481779273599386,0.45194005966186523
000005,0.020296229049563408,0.006324606016278267,0.9608993530273438,0.9535092115402222,0.018804427236318588,0.0401662141084671,0.026620835065841675,0.05897064134478569
000008,0.11352017521858215,0.12663766741752625,0.633158802986145,0.7629790306091309,0.2533210515975952,0.11038326472043991,0.2401578426361084,0.3637043163180351
000009,0.19364312291145325,0.06168593093752861,0.6178740859031677,0.8006154894828796,0.188482865691185,0.13769854605197906,0.25532905384898186,0.32618141174316406
000010,0.025123625993728638,0.014540661126375198,0.9139502048492432,0.9015055298805237,0.060926176607608795,0.08395382016897202,0.039664287120103836,0.1448799967765808
000011,0.02966848388314247,0.061229173094034195,0.8516826033592224,0.8787100315093994,0.1186489462852478,0.06006086617708206,0.09089765697717667,0.17870981246232986
000012,0.035383883863687515,0.008837737143039703,0.867041289806366,0.9407327771186829,0.09757485240697861,0.05042947083711624,0.04422162100672722,0.14800432324409485
000014,0.008080443367362022,0.016955554485321045,0.9775533080101013,0.9659386277198792,0.01436629332602024,0.017105814069509506,0.025035997852683067,0.03147210739552975
000016,0.07346358895301819,0.10638269782066345,0.8444249033927917,0.7543771266937256,0.08211151510477066,0.13924023509025574,0.17984628677368164,0.2213517501950264
000017,0.028930120170116425,0.004625313449651003,0.9126131534576416,0.8826454877853394,0.05845670402050018,0.11272916197776794,0.03355543361976743,0.17118586599826813
000018,0.07339038699865341,0.08699336647987366,0.9018113613128662,0.8742480874061584,0.024798275902867317,0.038758598268032074,0.16038375347852707,0.06355687417089939
