,0-1-cnn_one_mean_radio,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-1-cnn_one_mean_radio,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-1-cnn_one_mean_radio,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.009033488109707832,0.06298886984586716,0.04248260706663132,0.8746982216835022,0.7733036875724792,0.6251838207244873,0.11626829952001572,0.1637074500322342,0.33233362436294556,0.1145049650222063,0.6123093739151955,,,
000002,0.03662073612213135,0.13970538973808289,0.08000361174345016,0.8675947785377502,0.6974830031394958,0.7788894772529602,0.0957845151424408,0.1628115475177765,0.14110687375068665,0.2563297376036644,0.39970293641090393,,,
000004,0.05785509943962097,0.044940028339624405,0.00699209189042449,0.9020119309425354,0.7594773173332214,0.9238817691802979,0.04013301432132721,0.19558270275592804,0.0691261738538742,0.10978721966966987,0.30484189093112946,,,
000005,0.014267436228692532,0.017663024365901947,0.03286810964345932,0.9559881687164307,0.9649121761322021,0.9539496898651123,0.029744334518909454,0.017424801364541054,0.013182193040847778,0.0647985702380538,0.060351328924298286,,,
000008,0.020286349579691887,0.036387670785188675,0.022126171737909317,0.8390241861343384,0.7986664175987244,0.8529238700866699,0.14068947732448578,0.16494601964950562,0.12494990974664688,0.07880019210278988,0.4305854067206383,,,
000009,0.10683054476976395,0.12843337655067444,0.09784980863332748,0.7188642024993896,0.489504873752594,0.7535731196403503,0.1743052452802658,0.3820617198944092,0.14857709407806396,0.33311372995376587,0.704944059252739,,,
000010,0.11660611629486084,0.0930919423699379,0.310444712638855,0.7542954087257385,0.776117742061615,0.5179614424705505,0.1290985643863678,0.13079029321670532,0.17159385979175568,0.5201427713036537,0.4314827173948288,,,
000011,0.03329019621014595,0.35570016503334045,0.009455432184040546,0.9101310968399048,0.5377345085144043,0.8021591901779175,0.056578755378723145,0.10656522214412689,0.18838533759117126,0.39844579342752695,0.3515293151140213,,,
000012,0.008255879394710064,0.008356588892638683,0.017626438289880753,0.969937801361084,0.9721457958221436,0.9356772899627686,0.02180629037320614,0.019497569650411606,0.04669628292322159,0.0342389065772295,0.08800014294683933,,,
000014,0.0016702889697626233,0.03240031749010086,0.016041120514273643,0.985171377658844,0.9574409127235413,0.9670727849006653,0.013158336281776428,0.010158747434616089,0.01688610203564167,0.05011172697413713,0.04020318575203419,,,
000016,0.012253554537892342,0.015960946679115295,0.009259949438273907,0.9354870915412903,0.8734921216964722,0.9294162392616272,0.05225939303636551,0.11054690182209015,0.061323847621679306,0.037474450655281544,0.22413014248013496,,,
000017,0.0018637588946148753,0.013432936742901802,0.006210383493453264,0.9711213111877441,0.97063148021698,0.9644062519073486,0.027014967054128647,0.01593557931482792,0.029383353888988495,0.02150707913096994,0.07233390025794506,,,
000018,0.008000289089977741,0.01404476072639227,0.0024473301600664854,0.9761291742324829,0.9760825634002686,0.9204463958740234,0.0158705897629261,0.009872609749436378,0.07710627466440201,0.024492379976436496,0.10284947417676449,,,
000021,0.11742369830608368,0.09935681521892548,0.08735262602567673,0.6881731152534485,0.8445834517478943,0.7626206874847412,0.19440315663814545,0.05605975165963173,0.15002663433551788,0.3041331395506859,0.40048954263329506,,,
000022,0.0036997408606112003,0.037066977471113205,0.009298966266214848,0.9595693349838257,0.9253057241439819,0.9522750377655029,0.03673097491264343,0.0376272052526474,0.0384259857237339,0.05006568459793925,0.11278416588902473,,,
000023,0.12985631823539734,0.0321565680205822,0.004590753931552172,0.8262646198272705,0.8536828756332397,0.9777035117149353,0.043879058212041855,0.11416064947843552,0.017705779522657394,0.1666036401875317,0.17574548721313477,,,
000025,0.009228438138961792,0.016148077324032784,0.001419390900991857,0.7096185088157654,0.893436849117279,0.8633756637573242,0.2811530828475952,0.09041500836610794,0.13520491123199463,0.026795906363986433,0.5067730024456978,,,
000026,0.01258902344852686,0.003298976691439748,0.01460186392068863,0.9592897295951843,0.9684929847717285,0.9489140510559082,0.028121283277869225,0.028208037838339806,0.03648408129811287,0.030489864060655236,0.0928134024143219,,,
000027,0.0007257965044118464,0.0008331793360412121,0.0016076754545792937,0.9944390058517456,0.9893320798873901,0.9890825748443604,0.004835211206227541,0.00983469095081091,0.00930977612733841,0.003166651295032352,0.02397967828437686,,,
000028,0.006854676175862551,0.0329836942255497,0.008830606006085873,0.9518709182739258,0.8921236991882324,0.8416706323623657,0.041274383664131165,0.07489250600337982,0.14949879050254822,0.04866897640749812,0.2656656801700592,,,
000030,0.020244237035512924,0.08102618157863617,0.021523796021938324,0.9078493714332581,0.7826429605484009,0.9259212613105774,0.07190636545419693,0.13633090257644653,0.052554890513420105,0.12279421463608742,0.26079215854406357,,,
000036,0.00589991919696331,0.009151801466941833,0.0033287217374891043,0.9546892642974854,0.9549105167388916,0.855126678943634,0.039410896599292755,0.03593765199184418,0.14154456555843353,0.018380442401394248,0.21689311414957047,,,
000037,0.04247531294822693,0.05030524730682373,0.03921856731176376,0.936123788356781,0.8736351728439331,0.9050545692443848,0.02140093594789505,0.07605960220098495,0.055726855993270874,0.13199912756681442,0.15318739414215088,,,
000039,0.05474180355668068,0.12826550006866455,0.1268404871225357,0.8377227783203125,0.6317907571792603,0.6880490779876709,0.10753544420003891,0.23994377255439758,0.1851104348897934,0.30984779074788094,0.5325896516442299,,,
000040,0.03831237554550171,0.03773129731416702,0.009766396135091782,0.8642652034759521,0.7717835307121277,0.8244076371192932,0.09742242842912674,0.1904851496219635,0.16582603752613068,0.08581006899476051,0.4537336155772209,,,
000042,0.0631338581442833,0.018089095130562782,0.008424232713878155,0.8718165159225464,0.9662728905677795,0.9453129768371582,0.0650496780872345,0.015637990087270737,0.046262793242931366,0.08964718598872423,0.1269504614174366,,,
000043,0.028254473581910133,0.29710322618484497,0.04870939627289772,0.926496148109436,0.6812747120857239,0.9372091889381409,0.045249469578266144,0.02162199653685093,0.014081363566219807,0.3740670960396528,0.08095282968133688,,,
000045,0.057803135365247726,0.13117791712284088,0.059888795018196106,0.8903613686561584,0.8398148417472839,0.9112725257873535,0.05183549225330353,0.02900720201432705,0.02883872017264366,0.2488698475062847,0.10968141444027424,,,
000046,0.022554054856300354,0.0067784544080495834,0.018337015062570572,0.9107762575149536,0.92283034324646,0.9232954382896423,0.06666962802410126,0.0703912004828453,0.05836756154894829,0.04766952432692051,0.19542839005589485,,,
000048,0.20147918164730072,0.41391241550445557,0.06471918523311615,0.6514343619346619,0.5530407428741455,0.8857393264770508,0.147086501121521,0.03304683789610863,0.04954139515757561,0.6801107823848724,0.22967473417520523,,,
000049,0.06719962507486343,0.1614580899477005,0.038357190787792206,0.8382999897003174,0.8020481467247009,0.8056365251541138,0.09450040757656097,0.03649372607469559,0.15600629150867462,0.26701490581035614,0.2870004251599312,,,
000050,0.019502563402056694,0.06837756931781769,0.04016028344631195,0.8319023251533508,0.6935021877288818,0.7749069333076477,0.14859504997730255,0.2381201684474945,0.18493270874023438,0.12804041616618633,0.5716479271650314,,,
000055,0.025947703048586845,0.0732150673866272,0.03851703926920891,0.9615949392318726,0.7307081818580627,0.872369110584259,0.012457456439733505,0.19607676565647125,0.08911384642124176,0.13767980970442295,0.2976480685174465,,,
000056,0.013230007141828537,0.05512164533138275,0.018947767093777657,0.9429589509963989,0.8850129842758179,0.9651743173599243,0.04381108283996582,0.059865355491638184,0.015877963975071907,0.08729941956698895,0.11955440230667591,,,
000058,0.25624948740005493,0.29299792647361755,0.2660101354122162,0.6375364065170288,0.5469503402709961,0.44923022389411926,0.10621406137943268,0.16005167365074158,0.28475961089134216,0.8152575492858887,0.5510253459215164,,,
000059,0.010776961222290993,0.16132737696170807,0.017530515789985657,0.8822994232177734,0.7618346214294434,0.932007908821106,0.10692358016967773,0.07683803886175156,0.050461601465940475,0.18963485397398472,0.23422322049736977,,,
000060,0.25691357254981995,0.1272212266921997,0.049465715885162354,0.6019110083580017,0.4878808557987213,0.8313269019126892,0.14117544889450073,0.384897917509079,0.11920740455389023,0.433600515127182,0.6452807709574699,,,
